Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,True,False,English
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,True,False,Russian
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False,English
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,True,True,English
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,True,False,Korean
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,True,False,German
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,True,False,Portuguese
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,True,False,French
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,True,False,French
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,True,False,English
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,True,False,English
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,True,True,English
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,True,False,German
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,True,True,English
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False,English
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False,English
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,True,False,Japanese
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,True,False,Spanish
Vader,1110952500,184305,16289,5913,424374,57681,11535871,True,True,English
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,True,True,English
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,True,False,German
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,True,False,English
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True,English
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False,English
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,True,False,English
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,True,True,English
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,True,False,Japanese
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,True,False,English
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,True,True,English
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,True,False,English
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,True,False,German
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False,English
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,True,True,French
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,True,False,Russian
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,True,False,English
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,True,False,English
Stray228,972961650,93750,36971,10290,773712,197486,23738903,True,False,Russian
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,True,True,English
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,True,False,English
lestream,955346835,253395,47638,3652,883706,124020,25815105,True,False,French
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,True,False,Russian
Method,905107560,230940,148350,4135,401400,132108,22813009,True,False,English
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,True,False,English
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,True,False,English
shroud,888505170,30240,471281,29612,7744066,833587,30621257,True,False,English
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,True,False,Portuguese
buster,884353800,59295,97838,14195,1087377,1052053,37351933,True,False,Russian
